,"Reduce factor, shape",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1 LS,"(1472353280,)",0.0,0.703
1,1 square,"(36400, 36400)",0.0,0.146
2,1 LS,"(1472353280,)",0.5,0.703
3,1 square,"(36400, 36400)",0.5,0.146
4,1 LS,"(1472353280,)",0.9,0.703
5,1 square,"(36400, 36400)",0.9,0.146
6,1 LS,"(1472353280,)",0.99,0.703
7,1 square,"(36400, 36400)",0.99,0.146
8,2 LS,"(1472353280,)",0.0,0.667
9,2 square,"(36400, 36400)",0.0,0.099
10,2 LS,"(1472353280,)",0.5,0.667
11,2 square,"(36400, 36400)",0.5,0.101
12,2 LS,"(1472353280,)",0.9,0.667
13,2 square,"(36400, 36400)",0.9,0.1
14,2 LS,"(1472353280,)",0.99,0.667
15,2 square,"(36400, 36400)",0.99,0.101
16,4 LS,"(1472353280,)",0.0,0.647
17,4 square,"(36400, 36400)",0.0,0.082
18,4 LS,"(1472353280,)",0.5,0.647
19,4 square,"(36400, 36400)",0.5,0.084
20,4 LS,"(1472353280,)",0.9,0.647
21,4 square,"(36400, 36400)",0.9,0.084
22,4 LS,"(1472353280,)",0.99,0.647
23,4 square,"(36400, 36400)",0.99,0.082
24,8 LS,"(1472353280,)",0.0,0.631
25,8 square,"(36400, 36400)",0.0,0.083
26,8 LS,"(1472353280,)",0.5,0.631
27,8 square,"(36400, 36400)",0.5,0.083
28,8 LS,"(1472353280,)",0.9,0.631
29,8 square,"(36400, 36400)",0.9,0.083
30,8 LS,"(1472353280,)",0.99,0.631
31,8 square,"(36400, 36400)",0.99,0.083
