,"Input dims, index dim, reduce factor (RF)",Input size (>95% mem util)*,Sparsity,GPU clock time
0,2; 0; 1,"(2048, 2048)",0.0,7.301196455955505e-05
1,2; 0; 2,"(2048, 2048)",0.0,2.3478418961167335e-05
2,2; 0; 4,"(2048, 2048)",0.0,1.3434608187526464e-05
3,2; 0; 8,"(2048, 2048)",0.0,8.345363102853298e-06
4,2; 1; 1,"(2048, 2048)",0.0,5.092315934598446e-05
5,2; 1; 2,"(2048, 2048)",0.0,2.8376193530857563e-05
6,2; 1; 4,"(2048, 2048)",0.0,1.3744839373975993e-05
7,2; 1; 8,"(2048, 2048)",0.0,8.702348731458188e-06
8,3; 0; 1,"(512, 512, 512)",0.0,0.001430391799658537
9,3; 0; 2,"(512, 512, 512)",0.0,0.0007175587676465511
10,3; 0; 4,"(512, 512, 512)",0.0,0.0003631403110921383
11,3; 0; 8,"(512, 512, 512)",0.0,0.00018345982767641543
12,3; 1; 1,"(512, 512, 512)",0.0,0.001720867305994034
13,3; 1; 2,"(512, 512, 512)",0.0,0.0008643997088074684
14,3; 1; 4,"(512, 512, 512)",0.0,0.00043641398474574087
15,3; 1; 8,"(512, 512, 512)",0.0,0.00022072278894484044
16,3; 2; 1,"(512, 512, 512)",0.0,0.0014170312602072954
17,3; 2; 2,"(512, 512, 512)",0.0,0.0008044903352856636
18,3; 2; 4,"(512, 512, 512)",0.0,0.0005559561587870121
19,3; 2; 8,"(512, 512, 512)",0.0,0.0004312961883842945
20,2; 0; 1,"(2048, 2048)",0.5,4.94091110303998e-05
21,2; 0; 2,"(2048, 2048)",0.5,2.3419738374650478e-05
22,2; 0; 4,"(2048, 2048)",0.5,1.3423433154821395e-05
23,2; 0; 8,"(2048, 2048)",0.5,8.329771272838116e-06
24,2; 1; 1,"(2048, 2048)",0.5,5.0762150809168816e-05
25,2; 1; 2,"(2048, 2048)",0.5,2.869686484336853e-05
26,2; 1; 4,"(2048, 2048)",0.5,1.4020446222275496e-05
27,2; 1; 8,"(2048, 2048)",0.5,8.70083998888731e-06
28,3; 0; 1,"(512, 512, 512)",0.5,0.0014312779530882835
29,3; 0; 2,"(512, 512, 512)",0.5,0.0007184745557606221
30,3; 0; 4,"(512, 512, 512)",0.5,0.00036187541112303736
31,3; 0; 8,"(512, 512, 512)",0.5,0.00018392499815672635
32,3; 1; 1,"(512, 512, 512)",0.5,0.0017196971457451582
33,3; 1; 2,"(512, 512, 512)",0.5,0.0008648912981152534
34,3; 1; 4,"(512, 512, 512)",0.5,0.00043589973635971545
35,3; 1; 8,"(512, 512, 512)",0.5,0.00022119926661252976
36,3; 2; 1,"(512, 512, 512)",0.5,0.001415869314223528
37,3; 2; 2,"(512, 512, 512)",0.5,0.0008004788681864739
38,3; 2; 4,"(512, 512, 512)",0.5,0.000554835744202137
39,3; 2; 8,"(512, 512, 512)",0.5,0.00044235437363386153
40,2; 0; 1,"(2048, 2048)",0.9,4.861666206270456e-05
41,2; 0; 2,"(2048, 2048)",0.9,2.3433844931423663e-05
42,2; 0; 4,"(2048, 2048)",0.9,1.3426062092185021e-05
43,2; 0; 8,"(2048, 2048)",0.9,8.395952358841896e-06
44,2; 1; 1,"(2048, 2048)",0.9,5.07159112021327e-05
45,2; 1; 2,"(2048, 2048)",0.9,2.8737305290997028e-05
46,2; 1; 4,"(2048, 2048)",0.9,1.4044502936303616e-05
47,2; 1; 8,"(2048, 2048)",0.9,8.794794231653214e-06
48,3; 0; 1,"(512, 512, 512)",0.9,0.0014300631731748582
49,3; 0; 2,"(512, 512, 512)",0.9,0.0007175301015377044
50,3; 0; 4,"(512, 512, 512)",0.9,0.0003620677161961794
51,3; 0; 8,"(512, 512, 512)",0.9,0.00018373166304081677
52,3; 1; 1,"(512, 512, 512)",0.9,0.0017199961096048355
53,3; 1; 2,"(512, 512, 512)",0.9,0.0008648040518164635
54,3; 1; 4,"(512, 512, 512)",0.9,0.0004360548555850983
55,3; 1; 8,"(512, 512, 512)",0.9,0.00022165654972195625
56,3; 2; 1,"(512, 512, 512)",0.9,0.0014154961146414279
57,3; 2; 2,"(512, 512, 512)",0.9,0.0008067562989890575
58,3; 2; 4,"(512, 512, 512)",0.9,0.0005324234589934349
59,3; 2; 8,"(512, 512, 512)",0.9,0.0003944742605090141
60,2; 0; 1,"(2048, 2048)",0.99,4.852020479738712e-05
61,2; 0; 2,"(2048, 2048)",0.99,2.3433362878859042e-05
62,2; 0; 4,"(2048, 2048)",0.99,1.342282248660922e-05
63,2; 0; 8,"(2048, 2048)",0.99,8.334783650934697e-06
64,2; 1; 1,"(2048, 2048)",0.99,5.074857771396637e-05
65,2; 1; 2,"(2048, 2048)",0.99,2.8801756352186202e-05
66,2; 1; 4,"(2048, 2048)",0.99,1.4047531038522722e-05
67,2; 1; 8,"(2048, 2048)",0.99,8.734616450965404e-06
68,3; 0; 1,"(512, 512, 512)",0.99,0.0014293694961816073
69,3; 0; 2,"(512, 512, 512)",0.99,0.0007176730968058109
70,3; 0; 4,"(512, 512, 512)",0.99,0.000362173343077302
71,3; 0; 8,"(512, 512, 512)",0.99,0.00018367307167500255
72,3; 1; 1,"(512, 512, 512)",0.99,0.0017206877656280994
73,3; 1; 2,"(512, 512, 512)",0.99,0.0008640192821621895
74,3; 1; 4,"(512, 512, 512)",0.99,0.00043632024340331554
75,3; 1; 8,"(512, 512, 512)",0.99,0.0002214567642658949
76,3; 2; 1,"(512, 512, 512)",0.99,0.0014138751942664386
77,3; 2; 2,"(512, 512, 512)",0.99,0.0008009844273328781
78,3; 2; 4,"(512, 512, 512)",0.99,0.0005339414644986391
79,3; 2; 8,"(512, 512, 512)",0.99,0.00041855263896286486
