,"Input dims, index dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,2; 1,"(1581, 1581)",0,5000703,10.010892,23.068672,0.0002271157701034099(0.0)
1,2; 1,"(1866, 1866)",0,6965778,13.942752,44.040192,0.00030508064082823694(0.0)
2,2; 1,"(2114, 2114)",0,8940106,17.892896,44.040192,0.00038518746965564787(0.0)
3,2; 1,"(2335, 2335)",0,10906785,21.82758,35.651584,0.0004528660490177572(0.0)
4,2; 1,"(2537, 2537)",0,12875275,25.765772,44.040192,0.00048062292044050994(0.0)
5,2; 1,"(2724, 2724)",0,14843076,29.702496,50.331648,0.00046386027010157703(0.0)
6,2; 1,"(2899, 2899)",0,16811301,33.639996,56.623104,0.0005223793105687946(0.0)
7,2; 1,"(3064, 3064)",0,18779256,37.576896,58.720256,0.0005939488695003093(0.0)
8,2; 1,"(3221, 3221)",0,20752903,41.525132,62.91456,0.0006528368103317916(0.0)
9,2; 1,"(3370, 3370)",0,22717170,45.45456,69.206016,0.0007048962102271616(0.0)
10,2; 1,"(3514, 3514)",0,24699906,49.420896,75.497472,0.0007549597299657762(0.0)
11,2; 1,"(3651, 3651)",0,26663253,53.348412,81.788928,0.0008096030401065946(0.0)
12,2; 1,"(3783, 3783)",0,28625961,57.27462,88.080384,0.0008580024098046124(0.0)
13,2; 1,"(3911, 3911)",0,30595753,61.214972,94.37184,0.0009031597303692251(0.0)
14,2; 1,"(4035, 4035)",0,32566485,65.15718,100.663296,0.0009645164501853287(0.0)
15,2; 1,"(4156, 4156)",0,34548828,69.122592,106.954752,0.0010075694997794926(0.0)
16,2; 1,"(4272, 4272)",0,36504240,73.034112,113.246208,0.0010361031407956035(0.0)
17,2; 1,"(4386, 4386)",0,38478378,76.983072,119.537664,0.00110360159073025(0.0)
18,2; 1,"(4497, 4497)",0,40450515,80.928012,125.82912,0.0011564533901400865(0.0)
19,2; 1,"(4605, 4605)",0,42416655,84.86094,132.120576,0.0012701575609389692(0.0)
20,2; 1,"(4711, 4711)",0,44391753,88.811772,138.412032,0.0012519274302758277(0.0)
21,2; 1,"(4814, 4814)",0,46354006,92.736896,144.703488,0.0013481336494442075(0.0)
22,2; 1,"(4915, 4915)",0,48319365,96.66822,150.994944,0.0013187788601499051(0.0)
23,2; 1,"(5015, 5015)",0,50305465,100.64102,153.092096,0.001426448489073664(0.0)
24,2; 1,"(5112, 5112)",0,52270200,104.571072,157.2864,0.001439721629722044(0.0)
25,2; 1,"(5207, 5207)",0,54230905,108.493052,163.577856,0.001494072979548946(0.0)
26,2; 1,"(5301, 5301)",0,56206503,112.444812,169.869312,0.0015466878400184215(0.0)
27,2; 1,"(5393, 5393)",0,58174291,116.38094,176.160768,0.0015979752806015313(0.0)
28,2; 1,"(5484, 5484)",0,60153996,120.340896,182.452224,0.001610140020493418(0.0)
29,2; 1,"(5573, 5573)",0,62122231,124.2779,188.74368,0.0016863047902006655(0.0)
30,2; 1,"(5660, 5660)",0,64076860,128.18768,195.035136,0.0017211233300622553(0.0)
31,2; 1,"(5747, 5747)",0,66061765,132.158012,201.326592,0.001802591549931094(0.0)
32,2; 1,"(5832, 5832)",0,68030280,136.095552,207.618048,0.0018313053401652723(0.0)
33,2; 1,"(5916, 5916)",0,70004028,140.043552,213.909504,0.0018544192099943758(0.0)
34,2; 1,"(5998, 5998)",0,71958006,143.952,220.20096,0.0018978023808449507(0.0)
35,2; 1,"(6080, 6080)",0,73938880,147.91424,226.492416,0.0019453736895229667(0.0)
36,2; 1,"(6160, 6160)",0,75897360,151.83168,232.783872,0.0020054568001069127(0.0)
37,2; 1,"(6240, 6240)",0,77881440,155.80032,239.075328,0.0020434886391740292(0.0)
38,2; 1,"(6318, 6318)",0,79840566,159.71904,245.366784,0.0021437453397084028(0.0)
39,2; 1,"(6396, 6396)",0,81824028,163.686432,251.65824,0.002168592200614512(0.0)
40,2; 1,"(6472, 6472)",0,83780040,167.598912,253.755392,0.0022022915398702027(0.0)
41,2; 1,"(6548, 6548)",0,85759156,171.5576,257.949696,0.0022376909805461765(0.0)
42,2; 1,"(6622, 6622)",0,87708390,175.456512,264.241152,0.0022512095898855476(0.0)
43,2; 1,"(6696, 6696)",0,89679528,179.399232,270.532608,0.0023578001803252844(0.0)
44,2; 1,"(6770, 6770)",0,91672570,183.38576,276.824064,0.0023720929701812566(0.0)
45,2; 1,"(6842, 6842)",0,93632770,187.306592,283.11552,0.0024606727506034077(0.0)
46,2; 1,"(6913, 6913)",0,95586051,191.21358,289.406976,0.0025979114999063312(0.0)
47,2; 1,"(6984, 6984)",0,97559496,195.160896,295.698432,0.0025169773993548006(0.0)
48,2; 1,"(7054, 7054)",0,99524886,199.092096,301.989888,0.002615648000501096(0.0)
49,2; 1,"(7124, 7124)",0,101509876,203.062496,308.281344,0.0026458294701296836(0.0)
50,2; 1,"(7193, 7193)",0,103485691,207.01454,314.5728,0.0027374679502099753(0.0)
51,2; 1,"(7261, 7261)",0,105451503,210.946572,320.864256,0.002748666169354692(0.0)
52,2; 1,"(7328, 7328)",0,107406496,214.85696,327.155712,0.0027847889892291277(0.0)
53,2; 1,"(7395, 7395)",0,109379445,218.80326,333.447168,0.0028466738096904007(0.0)
54,2; 1,"(7462, 7462)",0,111370350,222.785472,339.738624,0.0028796727198641746(0.0)
55,2; 1,"(7527, 7527)",0,113318985,226.683132,346.03008,0.003002049820497632(0.0)
56,2; 1,"(7592, 7592)",0,115284520,230.614592,348.127232,0.0030043562897481024(0.0)
57,2; 1,"(7657, 7657)",0,117266955,234.579852,352.321536,0.003021328040631488(0.0)
58,2; 1,"(7721, 7721)",0,119235403,238.517132,358.612992,0.0031016853591427206(0.0)
59,2; 1,"(7784, 7784)",0,121189096,242.424896,364.904448,0.0031238777993712573(0.0)
60,2; 1,"(7847, 7847)",0,123158665,246.364412,371.195904,0.00319652309990488(0.0)
61,2; 1,"(7910, 7910)",0,125144110,250.33568,377.48736,0.003441478890599683(0.0)
62,2; 1,"(7972, 7972)",0,127113540,254.274912,383.778816,0.003276444600196555(0.0)
63,2; 1,"(8034, 8034)",0,129098346,258.244896,390.070272,0.0033287884504534303(0.0)
64,2; 1,"(8095, 8095)",0,131066145,262.18086,396.361728,0.0034256788797210904(0.0)
65,2; 1,"(8155, 8155)",0,133016205,266.08134,402.653184,0.003403433649800718(0.0)
66,2; 1,"(8215, 8215)",0,134980665,270.01062,408.94464,0.0035880852199625226(0.0)
67,2; 1,"(8275, 8275)",0,136959525,273.9687,415.236096,0.0035802347504068164(0.0)
68,2; 1,"(8334, 8334)",0,138919446,277.888896,421.527552,0.00359395544975996(0.0)
69,2; 1,"(8393, 8393)",0,140893291,281.83694,427.819008,0.003862425290280953(0.0)
70,2; 1,"(8452, 8452)",0,142881060,285.812832,434.110464,0.0036815420701168475(0.0)
71,2; 1,"(8510, 8510)",0,144848710,289.74848,440.40192,0.0037791743106208742(0.0)
72,2; 1,"(8567, 8567)",0,146795545,293.642492,442.499072,0.004105041159782559(0.0)
73,2; 1,"(8625, 8625)",0,148789875,297.6315,446.693376,0.003832409461028874(0.0)
74,2; 1,"(8682, 8682)",0,150762930,301.577952,452.984832,0.0038756984588690104(0.0)
75,2; 1,"(8738, 8738)",0,152714026,305.48048,459.276288,0.003972931440221146(0.0)
76,2; 1,"(8794, 8794)",0,154677666,309.408096,465.567744,0.0040008648694492875(0.0)
77,2; 1,"(8850, 8850)",0,156653850,313.3608,471.8592,0.00407440657960251(0.0)
78,2; 1,"(8906, 8906)",0,158642578,317.338592,478.150656,0.0042645766993518915(0.0)
79,2; 1,"(8961, 8961)",0,160608003,321.269772,484.442112,0.004129208800150081(0.0)
80,2; 1,"(9015, 9015)",0,162549465,325.15302,490.733568,0.00424407679005526(0.0)
81,2; 1,"(9070, 9070)",0,164538870,329.13216,497.025024,0.004479034850373864(0.0)
82,2; 1,"(9124, 9124)",0,166503876,333.062496,503.31648,0.004709066790528595(0.0)
83,2; 1,"(9178, 9178)",0,168480546,337.01616,509.607936,0.004908653160091489(0.0)
84,2; 1,"(9231, 9231)",0,170431953,340.919292,515.899392,0.0045826169999781995(0.0)
85,2; 1,"(9285, 9285)",0,172431735,344.91918,522.190848,0.004525814820080996(0.0)
86,2; 1,"(9337, 9337)",0,174368475,348.792972,528.482304,0.004507085839286447(0.0)
87,2; 1,"(9390, 9390)",0,176353590,352.76352,534.77376,0.0059550948697142305(0.0)
88,2; 1,"(9442, 9442)",0,178312170,356.680992,541.065216,0.004676888410467654(0.0)
89,2; 1,"(9494, 9494)",0,180281566,360.620096,543.162368,0.004756624469300732(0.0)
90,2; 1,"(9546, 9546)",0,182261778,364.580832,547.356672,0.004842244359897449(0.0)
91,2; 1,"(9597, 9597)",0,184214415,368.486412,553.648128,0.005124043849064037(0.0)
92,2; 1,"(9649, 9649)",0,186216051,372.489996,559.939584,0.005381515480112284(0.0)
93,2; 1,"(9700, 9700)",0,188189700,376.4376,566.23104,0.0054877509200014175(0.0)
94,2; 1,"(9750, 9750)",0,190134750,380.328,572.522496,0.005250001900130883(0.0)
95,2; 1,"(9801, 9801)",0,192129003,384.316812,578.813952,0.005064102170290425(0.0)
96,2; 1,"(9851, 9851)",0,194094253,388.247612,585.105408,0.005318085210165009(0.0)
97,2; 1,"(9901, 9901)",0,196069503,392.198412,591.396864,0.005528151219477877(0.0)
98,2; 1,"(9950, 9950)",0,198014950,396.0896,597.68832,0.00532984860939905(0.0)
99,2; 1,"(10000, 10000)",0,200010000,400.08,603.979776,0.007061068949988112(0.0)
