,"Input dims, index dim",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1; 0,"(1920460800,)",0.0,0.4124121814966202
1,2; 0,"(44000, 44000)",0.0,0.027598764188587664
2,2; 1,"(44000, 44000)",0.0,0.38091476261615753
3,3; 0,"(1400, 1400, 1400)",0.0,0.055211335234344
4,3; 1,"(1400, 1400, 1400)",0.0,0.07650911249220371
5,3; 2,"(1400, 1400, 1400)",0.0,0.6654129531234503
6,1; 0,"(1920460800,)",0.5,0.41236934065818787
7,2; 0,"(44000, 44000)",0.5,0.02760445587337017
8,2; 1,"(44000, 44000)",0.5,0.37355146184563637
9,3; 0,"(1400, 1400, 1400)",0.5,0.05522455330938101
10,3; 1,"(1400, 1400, 1400)",0.5,0.07655711658298969
11,3; 2,"(1400, 1400, 1400)",0.5,0.666661249473691
12,1; 0,"(1920460800,)",0.9,0.41224866174161434
13,2; 0,"(44000, 44000)",0.9,0.027629813738167287
14,2; 1,"(44000, 44000)",0.9,0.37378779985010624
15,3; 0,"(1400, 1400, 1400)",0.9,0.05524024590849876
16,3; 1,"(1400, 1400, 1400)",0.9,0.07656659558415413
17,3; 2,"(1400, 1400, 1400)",0.9,0.6624699421226978
18,1; 0,"(1920460800,)",0.99,0.4122458975762129
19,2; 0,"(44000, 44000)",0.99,0.027627998404204844
20,2; 1,"(44000, 44000)",0.99,0.37708441726863384
21,3; 0,"(1400, 1400, 1400)",0.99,0.05521539878100157
22,3; 1,"(1400, 1400, 1400)",0.99,0.07658043876290321
23,3; 2,"(1400, 1400, 1400)",0.99,0.6622868459671736
