,"Input dims, sort dim, stable",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1; 0; True,"(960230400,)",0.0,17.212551429867744
1,1; 0; False,"(960230400,)",0.0,17.210919924080372
2,2; 0; True,"(28200, 28200)",0.0,0.19662048015743494
3,2; 0; False,"(28200, 28200)",0.0,0.19658177718520164
4,2; 1; True,"(28200, 28200)",0.0,0.12252114713191986
5,2; 1; False,"(28200, 28200)",0.0,0.12251667864620686
6,3; 0; True,"(900, 900, 900)",0.0,0.3648275639861822
7,3; 0; False,"(900, 900, 900)",0.0,0.2049170583486557
8,3; 1; True,"(900, 900, 900)",0.0,0.27278272714465857
9,3; 1; False,"(900, 900, 900)",0.0,0.17357195168733597
10,3; 2; True,"(900, 900, 900)",0.0,0.23926791548728943
11,3; 2; False,"(900, 900, 900)",0.0,0.14345302991569042
12,1; 0; True,"(960230400,)",0.5,16.80119995959103
13,1; 0; False,"(960230400,)",0.5,16.80186252295971
14,2; 0; True,"(28200, 28200)",0.5,0.19328899402171373
15,2; 0; False,"(28200, 28200)",0.5,0.19328344892710447
16,2; 1; True,"(28200, 28200)",0.5,0.1190857645124197
17,2; 1; False,"(28200, 28200)",0.5,0.11907943151891232
18,3; 0; True,"(900, 900, 900)",0.5,0.3636101074516773
19,3; 0; False,"(900, 900, 900)",0.5,0.20482215471565723
20,3; 1; True,"(900, 900, 900)",0.5,0.2716897828504443
21,3; 1; False,"(900, 900, 900)",0.5,0.16633000411093235
22,3; 2; True,"(900, 900, 900)",0.5,0.2382576074451208
23,3; 2; False,"(900, 900, 900)",0.5,0.13586932513862848
24,1; 0; True,"(960230400,)",0.9,16.37311058305204
25,1; 0; False,"(960230400,)",0.9,16.332816230133176
26,2; 0; True,"(28200, 28200)",0.9,0.1897669518366456
27,2; 0; False,"(28200, 28200)",0.9,0.18973919469863176
28,2; 1; True,"(28200, 28200)",0.9,0.1155770756304264
29,2; 1; False,"(28200, 28200)",0.9,0.11556314863264561
30,3; 0; True,"(900, 900, 900)",0.9,0.3613747004419565
31,3; 0; False,"(900, 900, 900)",0.9,0.2023033518344164
32,3; 1; True,"(900, 900, 900)",0.9,0.2691564531996846
33,3; 1; False,"(900, 900, 900)",0.9,0.16062499582767487
34,3; 2; True,"(900, 900, 900)",0.9,0.23569866083562374
35,3; 2; False,"(900, 900, 900)",0.9,0.1301360372453928
36,1; 0; True,"(960230400,)",0.99,16.09795687533915
37,1; 0; False,"(960230400,)",0.99,16.088651228696108
38,2; 0; True,"(28200, 28200)",0.99,0.1873896075412631
39,2; 0; False,"(28200, 28200)",0.99,0.18752476759254932
40,2; 1; True,"(28200, 28200)",0.99,0.11356931366026402
41,2; 1; False,"(28200, 28200)",0.99,0.11377101391553879
42,3; 0; True,"(900, 900, 900)",0.99,0.360734635964036
43,3; 0; False,"(900, 900, 900)",0.99,0.20070227421820164
44,3; 1; True,"(900, 900, 900)",0.99,0.2682441333308816
45,3; 1; False,"(900, 900, 900)",0.99,0.15354406647384167
46,3; 2; True,"(900, 900, 900)",0.99,0.23487698659300804
47,3; 2; False,"(900, 900, 900)",0.99,0.1229831911623478
